english;indonesian;spanish;tagalog
All Locations;Semua Lokasi;;
All Items;Semua Items;;
All Customers;Semua Pelanggan;;
Quote;Kutipan;;
Branch;Cabang;;
Cust Order Ref;Order Pelanggan Ref;;
Quote Date;Tanggal Kutipan;;
Valid Until;Berlaku Hingga;;
Delivery To;Dikirimkan Ke;;
Quote Total;Total Kutipan;;
Currency;Mata Uang;;
Edit;Ubah;;
Order;Pesanan;;
Prt;Cetak;;
Back;Kembali;;
Update;Membarui;;
No records;Data kosong;;
Home;Beranda;;
Sales;Penjualan;;
Purchases;Pembelian;;
Products;Produk;;
Accountant's Area;Area Akuntant;;
Cash and GL;Tunai dan GL;;
Setup;;;
New Sales Quotation Entry;Penawaran Pembelian Baru;;
Reference;Referensi;;
Customer Reference;Referensi Pelanggan;;
Deliver from Location;Kirim dari Lokasi;;
Price List;Daftar Harga;;
Date;Tanggal;;
Current Credit;;;
Customer Discount;Diskon Pelanggan;;
SALES QUOTATION ITEMS;ITEM PENAWARAN PEMBELIAN;;
Item Code;Kode Item;;
Item Description;Deskripsi Item;;
Tax;Pajak;;
Quantity;Jumlah;;
Unit;Unit;;
Price before Tax;Harga Sebelum Pajak;;
Discount;Diskon;;
Shipping Charge;Biaya Pengiriman;;
Discount Given;Mendapat Diskon;;
Amount Total;Total Seluruh;;
QUOTATION DELIVERY DETAILS;RINCIAN PENGIRIMAN PENAWARAN;;
Deliver To;Dikirim Kepada;;
Contact Phone Number;Nomer Telepon;;
